case_id,nombre_caso,area_derecho,fecha_inicio,fecha_fin,tipo_seleccion,velocidad_cambio_dias,origen,exito,presion_ambiental,actores_principales,resistencias_documentadas,supervivencia_anos,mutaciones_identificadas,difusion_otras_jurisdicciones,normativa_primaria,fallos_relevantes,bibliografia_academica,notas
FID001,Fideicomiso Financiero,Derecho Financiero,1995-01-09,2024-12-31,Mixta,10938,Transplante-Hibrido,Exitoso,Economica-Tecnologica,"CNV, BCRA, Bancos",Resistencia bancos tradicionales,29,5,"Brasil, Colombia, Mexico","Ley 24.441, Ley 26.831","CNV Resol. 290/97",Lisoprawski (2003),Evolucion continua hacia tokenizacion
FID002,Fideicomiso Inmobiliario,Derecho Inmobiliario,1999-01-01,2024-12-31,Acumulativa,1460,Endogeno,Exitoso,Social-Economica,Desarrolladores inmobiliarios,Escribanos y martilleros,25,3,Chile,"Ley 24.441 art. 15-16",CSJN S.1838.XLI,Waisman (2005),Instrumento clave desarrollo urbano
CON001,Convertibilidad Plena,Derecho Monetario,1991-04-01,2001-12-20,Artificial,3914,Transplante,Fracaso,Crisis Hiperinflacionaria,Menem-Cavallo-BCRA,Sectores exportadores,10,4,Ecuador (dolarizacion),"Ley 23.928, Ley 25.561",CSJN Massa c/ Poder Ejecutivo,Damill-Frenkel (2006),Colapso por rigidez cambiaria
ADJ001,Clausulas Ajuste CER,Derecho Contractual,2002-02-03,2016-03-31,Acumulativa,5113,Endogeno,Parcial,Crisis Convertibilidad,INDEC-Poder Ejecutivo,Deudores hipotecarios,14,2,Uruguay,"Ley 25.827, Decreto 214/02",CSJN Rinaldi c/ Banco Santander,Lorenzetti (2003),Evolucion hacia UVA
ADJ002,Clausulas Ajuste UVA,Derecho Contractual,2016-04-01,2024-12-31,Acumulativa,3196,Endogeno,Parcial,Crisis Cambiaria,BCRA-Bancos hipotecarios,Tomadores creditos hipotecarios,8,1,Chile (UF),"BCRA Com. A 5797, A 6244",CSJN Ruiz c/ HSBC,Molina Sandoval (2019),Problemas en crisis COVID
PAG001,eCheq Electronico,Derecho Comercial,2017-07-01,2024-12-31,Mixta,2738,Hibrido,Exitoso,Tecnologica,BCRA-Sistema financiero,Resistencia inicial bancos,7,2,Colombia,"BCRA Com. A 6244, A 6554",No fallos relevantes,Veron (2020),Digitalizacion exitosa
AMP001,Accion Amparo Siri,Derecho Constitucional,1957-12-27,1994-08-22,Acumulativa,13416,Endogeno,Exitoso,Autoritarismo politico,Siri-CSJN,Poder Ejecutivo de facto,37,6,"Toda Latinoamerica","Fallos 239:459",CSJN Angel Siri c/ Gobierno,Sagües (1988),Modelo regional amparo
AMP002,Amparo Constitucional,Derecho Constitucional,1994-08-22,2024-12-31,Acumulativa,11088,Endogeno,Exitoso,Consolidacion democratica,Convencion Constituyente 1994,Sectores conservadores,30,4,"Brasil, Colombia",Art. 43 Constitucion Nacional,CSJN Halabi,Gelli (2008),Expansion derechos colectivos
CAM001,Control Cambios Cepo,Derecho Cambiario,2001-12-03,2015-12-17,Artificial,5127,Endogeno,Fracaso,Crisis Externa,Nestor-Cristina Kirchner-BCRA,Sectores exportadores,14,8,Venezuela,"BCRA Com. A serie 4000",CSJN Exportadores varios,Damill-Frenkel (2013),Reapertura 2019-2024
CAM002,Dolar MEP y CCL,Derecho Cambiario,2019-09-01,2024-12-31,Acumulativa,1948,Endogeno,Parcial,Crisis Cambiaria,Market makers-CNV-BCRA,AFIP resistencia,5,3,Brasil (dolar paralelo),"CNV Resol. 830/19",No fallos relevantes,Cont-Porto (2021),Brecha cambiaria persistente
