company_name,industry,ownership_type,program_implementation_date,program_trigger,program_type,source_url,date_verified,verification_method,has_hotline,hotline_anonymous,third_party_hotline,has_cco,has_ethics_committee,detection_mechanism,self_reported_to_authorities,case_outcome,executives_prosecuted,raids_conducted,effectiveness_evidence,law_27401_reference,law_27401_notes,data_quality,notes,record_id,collection_date,hotline_name,hotline_confidential,cco_independence,whistleblower_protection,anti_corruption_policy,anti_corruption_policy_date,documentation_level,scandal_timeline,settlement_amount,settlement_breakdown,previous_violations,remediation_actions,ongoing_monitoring,hotline_availability,hotline_channels,has_ethics_compliance_team,has_specialized_investigation_team,anti_corruption_program,anti_corruption_program_type,third_party_due_diligence,aml_program,conflict_of_interest_policy,gifts_policy,gifts_threshold,training_program,non_retaliation_policy,financial_controls,cybersecurity_policy,hotline_identity_protection,ethics_committee_role,has_integrity_unit,integrity_unit_name,integrity_unit_email,reporting_channels,aml_unit,mandatory_reporting,code_acceptance_required,investigation_commitment,governance_structure,cco_title,cco_appointment,ethics_committee_term,has_internal_audit,internal_audit_role,investigation_process,retaliation_protection,training_promotion,training_responsibility,supplier_code,integrity_program,un_global_compact,secondary_source,hotline_website,cco_role,has_audit_committee,audit_committee_role,has_audit_department,audit_department_role,has_supervisory_committee,reporting_commission,anti_fraud_policy,ma_due_diligence,supplier_compliance_required,mandatory_code_acceptance,public_disclosure,regulatory_reporting,investigation_cooperation_required,hotline_fantasy_names,has_compliance_unit,compliance_unit_name,has_integrity_officer,integrity_officer_name,integrity_officer_role,internal_procedures,mandatory_training,training_topics,aml_sujeto_obligado,gifts_threshold_modules,travel_policy,conflict_interest_policy,disciplinary_regime,sanctions,additional_contacts,has_compliance_management,compliance_department,escalation_procedures,oficina_anticorrupcion_reporting,investigation_confidentiality,programa_integridad_reference,policy_review_frequency,hotline_secure,reportable_issues,has_board,code_applies_to,restructuring_status,has_compliance_committee,compliance_committee_size,compliance_committee_composition,compliance_committee_role,has_internal_officer,internal_officer_title,internal_officer_appointment,internal_officer_board_access,internal_officer_autonomy,internal_officer_resources,reporting_frequency,reporting_content,board_oversight,acta_requirement,internal_communication,approval_procedures,gifts_approval_required,government_official_procedures,training_obligation,provisional_appointments,continuity_provisions,implementation_speed,visibility_score,resource_efficiency,effectiveness_evidence_score,cdi,signal_strength,actual_deterrence,mes
Security Company (Anonymous - ongoing case),Security Services,Private (multinational subsidiary),Pre-2020,Voluntary (pre-incident),GENUINE,https://www.dlapiper.com/es-AR/insights/publications/2024/05/argentinas-corporate-responsibility-law-is-applied-for-the-first-time,2024-05-07,Legal publication analysis,True,True,False,False,False,Anonymous employee report via hotline,True,Ongoing prosecution (2024),9.0,50.0,Internal detection led to prosecution,True,First application of Law 27.401,HIGH,Genuine program that actually detected and reported wrongdoing,1,2025-09-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.4,0.1,1.0,0.012,0.4,0.6,0.6667
YPF S.A.,Oil & Gas,Mixed (state-private),,,INSTITUTIONAL,https://compliance.ypf.com/index.html,2024-09-11,Company compliance website analysis,True,True,False,True,False,,,,,,None publicly available,False,,MEDIUM,Has structure but unclear on actual effectiveness,2,2025-09-11,Línea Ética,True,Stated as independent and autonomous,True,True,2024-01-10,Moderate (dedicated compliance site),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.1,0.1,0.25,0.4,0.6,0.6667
Tenaris S.A. (Grupo Techint),Steel/Energy,Private (multinational),Post-2016,Post-scandal (Brazil bribery case),COSMETIC,https://www.infobae.com/economia/2022/06/02/tenaris-debera-pagar-usd-78-millones-de-multa-in-eeuu-por-un-caso-de-sobornos-en-brasil/,2022-06-02,News report on legal settlement,False,False,False,False,False,,,,,,Continued violations suggest limited effectiveness,False,,HIGH,Reactive program after multiple corruption cases,3,2025-09-11,,,,,,,,"2008-2013 (Brazil), 2011 (Uzbekistan)",78100000.0,USD 53.1M restitution + USD 25M penalty,True,"['Severed ties with commercial agents in Brazil', 'Reduced commercial agents worldwide', 'Process improvements', 'Enhanced compliance program']",SEC reporting (2022-2024),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9,0.0,0.1,0.1,0.0,0.2,0.4,0.5
MercadoLibre Inc.,E-commerce/Fintech,Private (publicly traded),,,GENUINE,https://investor.mercadolibre.com/sites/mercadolibre/files/mercadolibre/corporate-governance-documents/code-of-business-conduct-and-ethics-english.pdf,2024-09-11,Company Code of Ethics analysis,True,True,False,False,False,,,,,,Comprehensive program structure,False,,HIGH,Sophisticated multinational compliance program,4,2025-09-11,,True,,,,,,,,,,,,24/7 in all countries,"['Web', 'Telephone', 'Email']",True,True,True,Risk-based,True,True,True,True,150.0,Not explicitly detailed,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.3,0.1,0.7,0.0214,0.4,0.6,0.6667
Banco de la Nación Argentina,Banking,State-owned,,,INSTITUTIONAL,https://www.bna.com.ar/Downloads/Institucional_CodigoDeEticaYConducta_CEyCBNAIng.pdf,2024-09-11,Code of Ethics and Conduct analysis,True,True,False,False,True,,,,,,Structured governance and multiple channels,False,,HIGH,State bank with institutional compliance framework,5,2025-09-11,Línea Ética BNA,True,,,,,,,,,,,,,,,,,,,True,,,,,True,,,Secret identity option,"Guarantees ethics line operation, manages reports",True,Integrity and Sustainability area – Ethics and Transparency Unit,eticaytransparencia@bna.com.ar,"['Línea Ética BNA', 'Immediate supervisor', 'Presidency/General Management/General Audit', 'Protocol for labor/gender violence']",Prevention of Money Laundering and Financing of Terrorism Area,Suspicious AML/CFT activity,True,"Zero tolerance, investigations per regulations","Board approval, Ethics Committee, specialized units",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.1,0.6,0.0417,0.2,0.6,0.3333
Grupo Arcor,Food Manufacturing,Private (family-owned),,,GENUINE,https://objectstorage.us-ashburn-1.oraclecloud.com/n/id0z0pcwkbu2/b/Bucket_PUB_Arcorcom-Prod/o/ingles/codigo-de-etica_eng.pdf,2024-09-11,Code of Ethics and Conduct 2023 analysis,True,True,False,True,True,,,,,,Comprehensive governance with CCO and multi-channel reporting,True,CCO responsible for Integrity Program per Law 27.401,HIGH,Well-structured program with explicit Law 27.401 compliance,6,2025-09-11,Línea Ética,True,,,,,,,,,,,,,"['Email: lineaetica@arcor.com', 'WhatsApp: +54 9 3513 850711', 'Web: https://www.arcor.com/ar/contacto-codigo-etica']",,,,,,,,,,,True,,,,"Manage Code, evaluate disputes, propose updates, promote culture",,,,,,,,,,Chief Compliance Officer,Appointed by Grupo Arcor,2 years,True,"Administers ethics line, investigates cases",Internal Audit → Ethics Committee → Board supervision,"Highly protected, retaliation triggers investigation",True,Ethics Committee promotes awareness and training,True,True,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.7999999999999999,0.1,0.7,0.0571,0.6,0.6,1.0
Telecom Argentina S.A.,Telecommunications,Private (publicly traded),,,COMPREHENSIVE,https://inversores.telecom.com.ar/content/dam/cms-investors/documentos/EN/tab2-corporate-governance/ethic-code/Code%20of%20ethics%201PAG.pdf,2024-09-11,Code of Ethics and Anti-corruption Policy analysis,True,Partial (accounting/audit issues only),True,True,False,,,,,,Multi-layer governance with specialized committees,False,,HIGH,Sophisticated program for publicly traded company,7,2025-09-11,,True,,,True,,,,,,,,,,"['Website', 'Toll-free telephone', 'Email', 'Postal mail', 'In-person']",,,,,True,,True,,,,True,True,,,,,,,,,,,,,,,,,,,,,,,,,https://inversores.telecom.com.ar/content/dam/cms-investors/documentos/EN/tab2-corporate-governance/ethic-code/Anticorruption%20Policy.pdf,https://eticaenlineatelecom.lineaseticas.com,Primary authority for Code compliance,True,"Verify compliance, investigate accounting/audit reports",True,"First-line review, refers reports, conducts follow-up",True,True,True,True,True,True,"Intranet, website, printed copies available","['CNV', 'SEC', 'BCBA', 'NYSE']",True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.7,0.1,0.6,0.0583,0.8,0.4,2.0
Correo Argentino S.A.,Postal Services,State-owned,,,INSTITUTIONAL,https://www.correoargentino.com.ar/sites/default/files/nuevo_codigo_de_etica_ok.pdf,2024-09-11,Code of Ethics and Integrity webpage analysis,True,True,False,False,False,,,,,,Structured procedures and mandatory training,True,Código se apoya expresamente en Ley 27.401,HIGH,State postal service with explicit Law 27.401 compliance,8,2025-09-11,Línea de Denuncias,True,,,,,,,,,,,,,,,,,,,True,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.correoargentino.com.ar/transparencia-activa/integridad/enlace-de-integridad,www.comunidadcorreo.com.ar,,,,,,,,,,,,,,,True,True,"Unidad de Cumplimiento, Integridad y Transparencia",True,Lic. Néstor Guzzetti,Brindar asistencia en ética e integridad pública,"['CO-OO-0110: Conflictos de intereses', 'CO-OO-0109: Acceso a Información Pública', 'CO-OO-005: Manual AML/CFT', 'RH-OO-080: Protocolo violencia laboral', 'RH-OO-030: Régimen Disciplinario']",True,"['Integridad y Transparencia', 'Anticorrupción', 'Prevención Lavado Activos']",True,4.0,True,True,RH-OO-030,"['Advertencia', 'Llamado atención', 'Apercibimiento', 'Suspensión 1-10 días', 'Despido']",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.4,0.1,0.5,0.04,0.4,0.6,0.6667
Aerolíneas Argentinas S.A.,Aviation,State-owned,,,COMPREHENSIVE,https://content.services.aerolineas.com.ar/media/documents/CODEOFETHICSFORSUPPLIERSFinalWEB.pdf,2024-09-11,Code of Ethics for Suppliers and Anti-fraud Policy analysis,True,True,True,False,False,,,,,,Third-party managed hotline and structured investigation process,False,,HIGH,State airline with comprehensive third-party managed ethics line,9,2025-09-11,Línea de Ética,True,,True,True,,,,,,,,,24/7/365,"['Tel: 0800-999-4636', 'Tel: 0800-122-7374', 'Web: www.resguarda.com/grupoaerolineas', 'Email: lineaetica.grupoar@resguarda.com']",,,,,True,,,True,150.0,,True,,,,,,,,,,,,,,,,,True,Única autorizada para investigar reportes,,,,,True,,,https://content.services.aerolineas.com.ar/media/documents/Pol%C3%ADticaAntifraudeyAnticorrupci%C3%B3n.pdf,,,True,Casos que involucren Auditoría Interna,,,,,,,,,,,,,,,,,,,,,,,,True,,,"['integridad@aerolineas.com.ar', 'reporte_ar@aerolineas.com.ar', 'reporte_au@aerolineas.com.ar']",True,Dirección de Auditoría Interna-Gerencia de Compliance,True,True,True,True,Máximo cada 2 años,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.1,0.5,0.05,0.4,0.8,0.5
Edenor S.A.,Electricity Distribution,Private (publicly traded),,,BASIC,https://ir.edenor.com/en/investors/corporate-government/ethical-code-ethics-line,2024-09-11,Corporate governance webpage analysis,True,False,False,False,False,,,,,,Basic structure with reporting channel,False,,MEDIUM,Basic compliance structure for electricity distributor,10,2025-09-11,Ethics Line,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Board of Directors + Supervisory Committee,,,,,,,,,,,,,,https://lineaetica.edenor.com/,,,,,,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,"['Soborno o prácticas comerciales irregulares', 'Robo o fraude con empleados/proveedores', 'Acoso, maltrato o discriminación', 'Conflictos de interés', 'Divulgación indebida información', 'Alteración información financiera', 'Incumplimiento leyes y reglamentos']",True,"['Empleados', 'Directorio', 'Comité Supervisión']",,,,,,,,,,,,,,,,,,,,,,,0.5,0.3,0.1,0.5,0.03,0.4,0.4,1.0
