transplant_id,instrument_name,origin_country,origin_legal_family,introduction_date,modification_date,success_level,adaptation_required,local_resistance_level,institutional_sponsor,market_reception,survival_years,mutations_count,export_potential,comparative_notes
TR001,Fideicomiso,Anglo-American,Common Law,1995-01-09,1999-03-15,High,Substantial,Medium,CNV-Academia,Positive,29,5,High,"Successful adaptation of trust concept to civil law system, exported to region"
TR002,Leasing Financiero,Anglo-American,Common Law,2000-06-08,2001-04-20,High,Moderate,Low,CNV-Banking,Positive,24,2,Medium,"Clean adoption with civil law adaptations, standard regional instrument"
TR003,Trust Puro,Anglo-American,Common Law,1998-01-01,2004-12-31,Failed,None,High,Academic-Lawyers,Negative,6,0,None,"Complete rejection by registral system, incompatible with civil law principles"
TR004,Chapter 11 Bankruptcy,United States,Common Law,2002-05-01,Never,Failed,Significant,Very High,IMF-World Bank,Negative,0,0,None,"Multiple attempts failed, domestic insolvency law preferred"
TR005,Class Action,United States,Common Law,2009-03-25,2016-11-30,Partial,Substantial,High,CSJN-Halabi,Mixed,15,3,Medium,"Adapted as collective actions, limited scope compared to US model"
TR006,Securitizacion,United States,Common Law,2001-06-28,2003-02-10,High,Moderate,Medium,CNV-Banks,Positive,23,4,High,"Successful adaptation, became standard financing tool, regional adoption"
TR007,Asset Management,United States,Common Law,2018-08-15,2020-01-30,High,Moderate,Low,CNV-International,Positive,6,1,Medium,"Clean integration into capital markets framework"
TR008,SPAC (Special Purpose),United States,Common Law,2022-03-01,2023-07-15,Developing,Significant,Medium,CNV-Private Equity,Mixed,2,1,Low,"Early stage adaptation, regulatory uncertainty"
TR009,REITs,United States,Common Law,2017-09-01,2019-04-15,Partial,Substantial,High,CNV-Real Estate,Mixed,7,2,Low,"Limited success, tax complications, fideicomiso competition"
TR010,Covered Bonds,Europe,Civil Law,2015-06-01,2016-12-20,Partial,Moderate,Medium,BCRA-European Banks,Mixed,9,1,Low,"Moderate adoption, banking sector resistance to new structures"
TR011,Green Bonds,International,Mixed,2017-10-15,2018-06-30,High,Low,Low,CNV-Environmental,Positive,7,1,Medium,"Successful international standard adoption, environmental policy alignment"
TR012,Sukuk (Islamic Finance),Islamic,Religious Law,2019-01-15,Never,Failed,Significant,Very High,Islamic Development Bank,Negative,0,0,None,"Cultural and legal system incompatibility, no Islamic finance tradition"
TR013,Contingent Convertible,Europe,Civil Law,2016-03-01,2017-09-15,Partial,Moderate,Medium,BCRA-International Banks,Mixed,8,2,Low,"Limited adoption, regulatory complexity, banking resistance"
TR014,Crowdfunding Equity,United States,Common Law,2018-11-01,2020-05-15,High,Moderate,Medium,CNV-Startups,Positive,6,2,Medium,"Successful fintech integration, adapted to local investment culture"
